title,year,author,journal,doi,type,issn,shortname,journal_short,publisher,issue,volume,page,published,subject,abstract,licence,pmid,keyword,pmcid
,,,,,,,,,,,,,,,,,,,
Stream-lined synthesis of 3-hydroxy-Î²-lactams: Norrish-Yang type II photocyclizations of Î²-ketoformamides.,,,,,,,,,,,,,,,,,,,
"Synthesis, structural characterization and catalytic activity of indenyl complexes of ruthenium bearing fluorinated phosphine ligands",2017.0,"[{'given': 'Matthew J.', 'family': 'Stark', 'name': 'Matthew J. Stark'}, {'given': 'Michael J.', 'family': 'Shaw', 'name': 'Michael J. Shaw'}, {'given': 'Arghavan', 'family': 'Fadamin', 'name': 'Arghavan Fadamin'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Eike B.', 'family': 'Bauer', 'name': 'Eike B. Bauer'}]",Journal of Organometallic Chemistry,10.1016/j.jorganchem.2017.03.043,journal-article,['0022-328X'],Journal of Organometallic Chemistry,Journal of Organometallic Chemistry,Elsevier BV,,847,41-53,2017-10-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Organic Chemistry', 'Physical and Theoretical Chemistry', 'Biochemistry']",,publisher-specific-oa,,,
"N-(3,5-Dimethylphenyl)-P,P-diphenylphosphinic amide.",,,,,,,,,,,,,,,,,,,
Regioselective photoreactions within a series of mixed co-crystals containing isosteric dihalogenated resorcinols with 4-stilbazole.,2019.0,"[{'given': 'Anna L.', 'family': 'Grobelny', 'name': 'Anna L. Grobelny'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Ryan H.', 'family': 'Groeneman', 'name': 'Ryan H. Groeneman'}]",Photochemical &amp; Photobiological Sciences,10.1039/c9pp00004f,journal-article,"['1474-905X', '1474-9092']",Photochem Photobiol Sci,Photochem Photobiol Sci,Springer Science and Business Media LLC,5,18,989-992,2019-05-01,['Physical and Theoretical Chemistry'],,,,,
"Palladium (II) complexes containing substituted thiosemicarbazones. Synthesis, spectral characterization, X-ray crystallography, biomolecular interactions and in vitro cytotoxicity.",,,,,,,,,,,,,,,,,,,
"New cationic and neutral copper(II) complexes containing 7-hydroxy-4-oxo-4[H]-chromene derived ONO pincer ligands: Synthesis, characterization and in vitro biological evaluations.",2018.0,"[{'given': 'G.', 'family': 'Kalaiarasi', 'name': 'G. Kalaiarasi'}, {'given': 'S.', 'family': 'Rex Jeya Rajkumar', 'name': 'S. Rex Jeya Rajkumar'}, {'given': 'S.', 'family': 'Dharani', 'name': 'S. Dharani'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'R.', 'family': 'Prabhakaran', 'name': 'R. Prabhakaran'}]",Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2018.01.017,journal-article,['1011-1344'],Journal of Photochemistry and Photobiology B: Biology,Journal of Photochemistry and Photobiology B: Biology,Elsevier BV,,180,77-88,2018-03-01,"['Radiology, Nuclear Medicine and imaging', 'Biophysics', 'Radiological and Ultrasound Technology', 'Radiation']",,,,,
Electronic versus steric effects of pyridinophane ligands on Pd(III) complexes.,2018.0,"[{'given': 'Fengzhi', 'family': 'Tang', 'name': 'Fengzhi Tang'}, {'given': 'Sungho V', 'family': 'Park', 'name': 'Sungho V Park'}, {'given': 'Nigam P', 'family': 'Rath', 'name': 'Nigam P Rath'}, {'given': 'Liviu M', 'family': 'Mirica', 'name': 'Liviu M Mirica'}]","Dalton transactions (Cambridge, England : 2003)",10.1039/c7dt04366j,journal-article,1477-9226,Dalton Trans,Dalton Trans,Royal Society of Chemistry (RSC),4,47,1151-1158,2018-01-01,['Inorganic Chemistry'],"Several new PdII and PdIII complexes supported by electronically and sterically tuned tetradentate pyridinophane ligands MeN4OMe, MeN4, and tBuN4 were isolated and fully characterized (MeN4OMe: N,N'-dimethyl-2,11-diaza[3,3](2,6)-para-methoxypyridinophane; MeN4: N,N'-dimethyl-2,11-diaza[3,3](2,6)pyridinophane; tBuN4: N,N'-di-tert-butyl-2,11-diaza[3,3](2,6)pyridinophane). Cyclic voltammetry studies, UV-vis and EPR spectroscopy, and X-ray crystallography were employed to reveal that the steric properties of the N-substituents of the RN4 ligands have a pronounced effect on the electronic properties of the corresponding PdIII complexes, while the electronic tuning of the ligand pyridyl groups has a surprisingly minimal effect. An explanation for these observations was provided by DFT and TD-DFT calculations which suggest that the electronic properties of the PdIII complexes are mainly dictated by their frontier molecular orbitals that have major atomic contributions from the Pd center (mainly the Pd dz2 atomic orbital) and the axial N atom donors.",,29271467.0,,
"Synthesis and Characterization of Luminescent 2,7-Disubstituted-Silafluorenes",2016.0,"[{'given': 'Douglas W.', 'family': 'Hammerstroem', 'name': 'Douglas W. Hammerstroem'}, {'given': 'Janet', 'family': 'Braddock-Wilking', 'name': 'Janet Braddock-Wilking'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}]",Journal of Organometallic Chemistry,10.1016/j.jorganchem.2016.04.004,journal-article,['0022-328X'],Journal of Organometallic Chemistry,Journal of Organometallic Chemistry,Elsevier BV,,813,110-118,2016-07-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Organic Chemistry', 'Physical and Theoretical Chemistry', 'Biochemistry']",,publisher-specific-oa,,,
"Synthesis, structural characterization and catalytic activity of indenyl complexes of ruthenium bearing fluorinated phosphine ligands.",2017.0,"[{'given': 'Matthew J.', 'family': 'Stark', 'name': 'Matthew J. Stark'}, {'given': 'Michael J.', 'family': 'Shaw', 'name': 'Michael J. Shaw'}, {'given': 'Arghavan', 'family': 'Fadamin', 'name': 'Arghavan Fadamin'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Eike B.', 'family': 'Bauer', 'name': 'Eike B. Bauer'}]",Journal of Organometallic Chemistry,10.1016/j.jorganchem.2017.03.043,journal-article,['0022-328X'],Journal of Organometallic Chemistry,Journal of Organometallic Chemistry,Elsevier BV,,847,41-53,2017-10-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Organic Chemistry', 'Physical and Theoretical Chemistry', 'Biochemistry']",,publisher-specific-oa,,,
A highly active copper catalyst for the hydrogenation of carbon dioxide to formate under ambient conditions.,2020.0,"[{'given': 'Karan', 'family': 'Chaudhary', 'name': 'Karan Chaudhary'}, {'given': 'Manoj', 'family': 'Trivedi', 'name': 'Manoj Trivedi'}, {'given': 'D. T.', 'family': 'Masram', 'name': 'D. T. Masram'}, {'given': 'Abhinav', 'family': 'Kumar', 'name': 'Abhinav Kumar'}, {'given': 'Girijesh', 'family': 'Kumar', 'name': 'Girijesh Kumar'}, {'given': 'Ahmad', 'family': 'Husain', 'name': 'Ahmad Husain'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}]",Dalton Transactions,10.1039/c9dt04662c,journal-article,"['1477-9226', '1477-9234']",Dalton Trans.,Dalton Trans.,Royal Society of Chemistry (RSC),9,49,2994-3000,2020-03-03,['Inorganic Chemistry'],Catalytic conversion of CO2via hydrogenation using in situ gaseous H2 (granulated tin metal and concentrated HCl) to produce the formate salt (HCO2−) with turnover number (TON) values of 326 to 1.065 × 105 in 12 h to 48 h of reaction at 25 °C to 80 °C has been reported.,,,,
Structure-property studies of a new one-dimensional Fe(III)/Mn(II) chain.,2020.0,"[{'given': 'Yuan-Zhu', 'family': 'Zhang', 'name': 'Yuan-Zhu Zhang'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'John M.', 'family': 'Cain', 'name': 'John M. Cain'}, {'given': 'Mark W.', 'family': 'Meisel', 'name': 'Mark W. Meisel'}, {'given': 'Stephen M.', 'family': 'Holmes', 'name': 'Stephen M. Holmes'}]",Polyhedron,10.1016/j.poly.2020.114376,journal-article,['0277-5387'],Polyhedron,Polyhedron,Elsevier BV,,179,114376,2020-03-01,"['Materials Chemistry', 'Inorganic Chemistry', 'Physical and Theoretical Chemistry']",,,,,
Glycosyl nitrates in synthesis: streamlined access to glucopyranose building blocks differentiated at C-2.,2018.0,"[{'given': 'Tinghua', 'family': 'Wang', 'name': 'Tinghua Wang'}, {'given': 'Swati S.', 'family': 'Nigudkar', 'name': 'Swati S. Nigudkar'}, {'given': 'Jagodige P.', 'family': 'Yasomanee', 'name': 'Jagodige P. Yasomanee'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Keith J.', 'family': 'Stine', 'name': 'Keith J. Stine'}, {'given': 'Alexei V.', 'family': 'Demchenko', 'name': 'Alexei V. Demchenko'}]",Organic &amp; Biomolecular Chemistry,10.1039/c8ob00477c,journal-article,"['1477-0520', '1477-0539']",Org. Biomol. Chem.,Org. Biomol. Chem.,Royal Society of Chemistry (RSC),19,16,3596-3604,2018-01-01,"['Organic Chemistry', 'Physical and Theoretical Chemistry', 'Biochemistry']","In an attempt to refine a CAN-mediated synthesis of 1,3,4,6-tetra-O-acetyl-α-d-glucopyranose (2-OH glucose) we unexpectedly discovered that this reaction proceeds via the intermediacy of glycosyl nitrates.",,,,
Extending the S-benzimidazolyl (SBiz) platform: N-alkylated SBiz glycosyl donors with the universal activation profile.,2017.0,"[{'given': 'Scott J', 'family': 'Hasty', 'name': 'Scott J Hasty'}, {'given': 'Nigam P', 'family': 'Rath', 'name': 'Nigam P Rath'}, {'given': 'Alexei V', 'family': 'Demchenko', 'name': 'Alexei V Demchenko'}]",Pure and applied chemistry. Chimie pure et appliquee,10.1515/pac-2017-0112,journal-article,0033-4545,Pure Appl Chem,Pure Appl Chem,Walter de Gruyter GmbH,9,89,1321-1331,2017-09-01,"['General Chemical Engineering', 'General Chemistry']","This article describes the development of alkylated <i>S</i>-benzimidazolyl (SBiz) imidates as versatile building blocks for chemical glycosylation. The SBiz imidates have been originally developed as a new platform for active-latent glycosylations and its utility was further extended to other common strategies for oligosaccharide synthesis. This article expands upon the utility of these compounds. We developed a general protocol for the synthesis of a series of <i>N</i>-alkylated SBiz glycosides from <i>N</i>-protected SBiz aglycones by Lewis acid-mediated coupling with glucose pentaacetate. The <i>N</i>-alkylated SBiz moiety was found to be stable under strong basic conditions which allowed us to obtain both armed and disarmed <i>N</i>-alkylated SBiz donors. These donors showed good reactivity at a variety of activation conditions, and generally provided high yields in glycosylations.",cc-by-nc-nd,29861508.0,"['Carbohydrates', 'Synthesis', 'Oligosaccharides', 'Glycosylation', 'Ics-28']",PMC5976247
A Practical Gram-Scale Synthesis of Acrylohydroxamic Acid.,2017.0,"[{'given': 'Bruce', 'family': 'Hamper', 'name': 'Bruce Hamper'}, {'given': 'Brendan', 'family': 'Sullivan', 'name': 'Brendan Sullivan'}, {'given': 'Nigam', 'family': 'Rath', 'name': 'Nigam Rath'}, {'given': 'Christopher', 'family': 'Spilling', 'name': 'Christopher Spilling'}]",Synthesis,10.1055/s-0036-1589103,journal-article,"['0039-7881', '1437-210X']",Synthesis,Synthesis,Georg Thieme Verlag KG,24,49,5335-5338,2017-12-01,"['Organic Chemistry', 'Catalysis']","Acrylohydroxamic acid, which is a useful monomer for the preparation of polymeric materials, has been prepared in a straightforward, two-step synthesis from readily available starting materials. The key steps are coupling of acrylic acid with O-tetrahydropyranylhydroxyl amine to provide protection of the hydroxylamine functionality, followed by acid cleavage of the protecting group.",,,,
Regioselective [2   2] cycloaddition reaction within a pair of polymorphic co-crystals based upon halogen bonding interactions.,2019.0,"[{'given': 'Eric', 'family': 'Bosch', 'name': 'Eric Bosch'}, {'given': 'Samantha J.', 'family': 'Kruse', 'name': 'Samantha J. Kruse'}, {'given': 'Eric W.', 'family': 'Reinheimer', 'name': 'Eric W. Reinheimer'}, {'given': 'Nigam P.', 'family': 'Rath', 'name': 'Nigam P. Rath'}, {'given': 'Ryan H.', 'family': 'Groeneman', 'name': 'Ryan H. Groeneman'}]",CrystEngComm,10.1039/c9ce01379b,journal-article,['1466-8033'],CrystEngComm,CrystEngComm,Royal Society of Chemistry (RSC),43,21,6671-6675,2019-11-04,"['Condensed Matter Physics', 'General Materials Science', 'General Chemistry']",A pair of photoreactive polymorphic co-crystals that undergo a regioselective solid-state [2 + 2] cycloaddition reaction that yields exclusively the head-to-tail photoproduct is reported.,,,,
,,,,,,,,,,,,,,,,,,,
"Synthetic, spectral, structural and catalytic activity of infinite 3-D and 2-D copper(II) coordination polymers for substrate size-dependent catalysis for CO2 conversion.",,,,,,,,,,,,,,,,,,,
"Application of Blockchain Protocol to Wealth Management""",,,,,,,,,,,,,,,,,,,
Real Estate Intermediation and Blockchain,,,,,,,,,,,,,,,,,,,
Financial Intermediation and Blockchain,,,,,,,,,,,,,,,,,,,
Blockchain Platform for Real-Time Payments: A Less Costly and More Secure Alternative to ACH,2019.0,"[{'given': 'Nasser', 'family': 'Arshadi', 'name': 'Nasser Arshadi'}]",Technology &amp; Innovation,10.21300/21.1.2019.3,journal-article,['1949-8241'],technol innov,technol innov,Academy of Inventors,1,21,3-9,2019-10-31,,"This paper examines the historical development of banking and automated clearing house legacy systems and offers blockchain platform for real-time payments as an alternative. Institutions with legacy systems resist disruptive change unless there are demands by businesses and customers
 and an opportunity for new products at reduced costs and additional revenues. Although the Automated Clearing House (ACH) in the U. S. has phased in a twice-a-day clearing and settlement system, it is still behind real-time models in use in several other countries. ACH uses individual clearance
 and settlements for large payments and batches for smaller transactions. Using ACH data, this paper calculates the annual opportunity cost of using a real-time model such as blockchain versus ACH's discrete, twice-a-day clearance and settlement procedure. For 2016, the real-time protocol would
 have resulted in benefits for businesses and customers of $10 billion.",,,,
Good Practice for Helping International Students Find Success,,,,,,,,,,,,,,,,,,,
Brain Friendly Ways to Lead,,,,,,,,,,,,,,,,,,,
Classroom Management Techniques:  Suggestions for Novice or Pre-Service Teachers,,,,,,,,,,,,,,,,,,,
Postsecondary Retirement Facts and Suggested Planning Strategies for Faculty and Administrators in Higher Education,,,,,,,,,,,,,,,,,,,
Brain-Wise Leadership,,,,,,,,,,,,,,,,,,,
Different Countries Similar Solutions:  Creating a Mentoring Program Through a Cross-Cultural Partnership,,,,,,,,,,,,,,,,,,,
The Next Decade of Challenges for Higher Education,,,,,,,,,,,,,,,,,,,
Initiatives for Sustainable Development in Leadership and Education,,,,,,,,,,,,,,,,,,,
Progesterone and stress influence the reinstatement of a conditioned place preference to amphetamine in ovariectomized rats,,,,,,,,,,,,,,,,,,,
Comprehensive functional characterization of murine infantile Batten disease including Parkinson-like behavior and dopaminergic markers,2015.0,"[{'given': 'Joshua T.', 'family': 'Dearborn', 'name': 'Joshua T. Dearborn'}, {'given': 'Steven K.', 'family': 'Harmon', 'name': 'Steven K. Harmon'}, {'given': 'Stephen C.', 'family': 'Fowler', 'name': 'Stephen C. Fowler'}, {'given': 'Karen L.', 'family': 'O’Malley', 'name': 'Karen L. O’Malley'}, {'given': 'George T.', 'family': 'Taylor', 'name': 'George T. Taylor'}, {'given': 'Mark S.', 'family': 'Sands', 'name': 'Mark S. Sands'}, {'given': 'David F.', 'family': 'Wozniak', 'name': 'David F. Wozniak'}]",Scientific Reports,10.1038/srep12752,journal-article,['2045-2322'],Sci Rep,Sci Rep,Springer Science and Business Media LLC,1,5,,2015-08-04,['Multidisciplinary'],"AbstractInfantile neuronal ceroid lipofuscinosis (INCL, Infantile Batten disease) is a neurodegenerative lysosomal storage disease caused by a deficiency in palmitoyl protein thioesterase-1 (PPT1). The PPT1-deficient mouse (Cln1−/−) is a useful phenocopy of human INCL. Cln1−/− mice display retinal dysfunction, seizures, motor deficits and die at ~8 months of age. However, little is known about the cognitive and behavioral functions of Cln1−/− mice during disease progression. In the present study, younger (~1–2 months of age) Cln1−/− mice showed minor deficits in motor/sensorimotor functions while older (~5–6 months of age) Cln1−/− mice exhibited more severe impairments, including decreased locomotor activity, inferior cued water maze performance, decreased running wheel ability and altered auditory cue conditioning. Unexpectedly, certain cognitive functions such as some learning and memory capabilities seemed intact in older Cln1−/− mice. Younger and older Cln1−/− mice presented with walking initiation defects, gait abnormalities and slowed movements, which are analogous to some symptoms reported in INCL and parkinsonism. However, there was no evidence of alterations in dopaminergic markers in Cln1−/− mice. Results from this study demonstrate quantifiable changes in behavioral functions during progression of murine INCL and suggest that Parkinson-like motor/sensorimotor deficits in Cln1−/− mice are not mediated by dopamine deficiency.",cc-by-4.0,,,
Androgens and cognition in female rats after blocking conversion of androgens to estrogens,,,,,,,,,,,,,,,,,,,
Cognitive changes during corticosteroid - estrogen interactions in ovariectomized rats,,,,,,,,,,,,,,,,,,,
appa opioids and salvinorin A in animal models of major depressive disorder,,,,,,,,,,,,,,,,,,,
Comprehensive functional characterization of murine infantile Batten disease including Parkinson-like behavior and dopaminergic markers,2015.0,"[{'given': 'Joshua T.', 'family': 'Dearborn', 'name': 'Joshua T. Dearborn'}, {'given': 'Steven K.', 'family': 'Harmon', 'name': 'Steven K. Harmon'}, {'given': 'Stephen C.', 'family': 'Fowler', 'name': 'Stephen C. Fowler'}, {'given': 'Karen L.', 'family': 'O’Malley', 'name': 'Karen L. O’Malley'}, {'given': 'George T.', 'family': 'Taylor', 'name': 'George T. Taylor'}, {'given': 'Mark S.', 'family': 'Sands', 'name': 'Mark S. Sands'}, {'given': 'David F.', 'family': 'Wozniak', 'name': 'David F. Wozniak'}]",Scientific Reports,10.1038/srep12752,journal-article,['2045-2322'],Sci Rep,Sci Rep,Springer Science and Business Media LLC,1,5,,2015-08-04,['Multidisciplinary'],"AbstractInfantile neuronal ceroid lipofuscinosis (INCL, Infantile Batten disease) is a neurodegenerative lysosomal storage disease caused by a deficiency in palmitoyl protein thioesterase-1 (PPT1). The PPT1-deficient mouse (Cln1−/−) is a useful phenocopy of human INCL. Cln1−/− mice display retinal dysfunction, seizures, motor deficits and die at ~8 months of age. However, little is known about the cognitive and behavioral functions of Cln1−/− mice during disease progression. In the present study, younger (~1–2 months of age) Cln1−/− mice showed minor deficits in motor/sensorimotor functions while older (~5–6 months of age) Cln1−/− mice exhibited more severe impairments, including decreased locomotor activity, inferior cued water maze performance, decreased running wheel ability and altered auditory cue conditioning. Unexpectedly, certain cognitive functions such as some learning and memory capabilities seemed intact in older Cln1−/− mice. Younger and older Cln1−/− mice presented with walking initiation defects, gait abnormalities and slowed movements, which are analogous to some symptoms reported in INCL and parkinsonism. However, there was no evidence of alterations in dopaminergic markers in Cln1−/− mice. Results from this study demonstrate quantifiable changes in behavioral functions during progression of murine INCL and suggest that Parkinson-like motor/sensorimotor deficits in Cln1−/− mice are not mediated by dopamine deficiency.",cc-by-4.0,,,
Why Seniors Need to Pay Attention to their Credit Scores,,,,,,,,,,,,,,,,,,,
Research in International Logistics and Supply Chain Management Part 1:Addressing Strategic Issues on Contemporary Foundations,,,,,,,,,,,,,,,,,,,
Combining Traditional Accounting and Value-Added Activity Measures to Maximize Supply Chain Performance,2018.0,,Journal of Accounting and Finance,10.33423/jaf.v18i3.414,journal-article,"['2158-3625', '2158-3625']",JAF,JAF,North American Business Press,3,18,,2018-07-01,,,,,,
"Credit Usage, Payment Behavior and the Accuracy of Consumer Credit Files",,,,,,,,,,,,,,,,,,,
"CSAs, Seniors, and the Integrity of Their Credit Files: Now More Than Ever",,,,,,,,,,,,,,,,,,,
"Credit Usage, Payment Behavior and the Accuracy of Consumer Credit Files",,,,,,,,,,,,,,,,,,,
The Other Side of Revenue Management: Managing Airport Infrastructure and Airside Operations,2018.0,"[{'given': 'Daniel L.', 'family': 'Rust', 'name': 'Daniel L. Rust'}, {'given': 'Dana L.', 'family': 'Ryan', 'name': 'Dana L. Ryan'}, {'given': 'L. Douglas', 'family': 'Smith', 'name': 'L. Douglas Smith'}, {'given': 'Juan', 'family': 'Zhang', 'name': 'Juan Zhang'}]",International Journal of Revenue Management,10.1504/ijrm.2018.10017696,journal-article,"['1474-7332', '1741-8186']",IJRM,IJRM,Inderscience Publishers,3/4,10,189,2018-01-01,"['Strategy and Management', 'Economics and Econometrics', 'Finance', 'Business and International Management']",,,,,
Assessing the Risk of Hospital Readmissions for Improving Medical Practice,,,,,,,,,,,,,,,,,,,
Advocacy for Health and Physical Education Programs in Missouri,,,,,,,,,,,,,,,,,,,
A Global Imperative,2017.0,"[{'given': 'A K', 'family': 'Shiva Kumar', 'name': 'A K Shiva Kumar'}, {'given': 'Vivien', 'family': 'Stern', 'name': 'Vivien Stern'}, {'given': 'Ramya', 'family': 'Subrahmanian', 'name': 'Ramya Subrahmanian'}, {'given': 'Lorraine', 'family': 'Sherr', 'name': 'Lorraine Sherr'}, {'given': 'Patrick', 'family': 'Burton', 'name': 'Patrick Burton'}, {'given': 'Nancy', 'family': 'Guerra', 'name': 'Nancy Guerra'}, {'given': 'Robert', 'family': 'Muggah', 'name': 'Robert Muggah'}, {'given': 'Maureen', 'family': 'Samms-Vaughan', 'name': 'Maureen Samms-Vaughan'}, {'given': 'Charlotte', 'family': 'Watts', 'name': 'Charlotte Watts'}, {'given': 'Soumya Kapoor', 'family': 'Mehta', 'name': 'Soumya Kapoor Mehta'}]","Psychology, health & medicine",10.1080/13548506.2017.1287409,journal-article,1354-8506,Psychol Health Med,Psychol Health Med,Informa UK Limited,sup1,22,1-16,2017-03-01,"['Psychiatry and Mental health', 'Applied Psychology', 'Clinical Psychology']",,cc-by-nc-nd-4.0,28253750.0,"['Childhood', 'Violence']",
Project FORECAST: Evaluation of Problem-Based Learning Simulations for Child Advocacy,,,,,,,,,,,,,,,,,,,
A Comparison of the Effects of Community Violence on Children in South Africa and the U.S.,,,,,,,,,,,,,,,,,,,
"Teacher Response to School Violence in Cape Town, South Africa",,,,,,,,,,,,,,,,,,,
Ubjects (unique objects) among us: Unique objects and community history in Illinois,,,,,,,,,,,,,,,,,,,
Ubjects (unique objects) among us: Unique objects and community history in Illinois,,,,,,,,,,,,,,,,,,,
Outsourcing and Offshoring in Engineering Management: Practical Implications,,,,,,,,,,,,,,,,,,,
Project Attributes and Contextual Explanations of Offshore Outsourcing Outcomes: Evidence from a Clients Perspective,,,,,,,,,,,,,,,,,,,
Motivators and Barriers to Participating in Health Promotion Behaviors in Black Men,2013.0,"[{'given': 'Wilma J.', 'family': 'Calvert', 'name': 'Wilma J. Calvert'}, {'given': 'E. Paulette', 'family': 'Isaac-Savage', 'name': 'E. Paulette Isaac-Savage'}]",Western Journal of Nursing Research,10.1177/0193945913480429,journal-article,"['0193-9459', '1552-8456']",West J Nurs Res,West J Nurs Res,SAGE Publications,7,35,829-848,2013-08-01,['General Nursing']," There is limited research examining the health promotion behaviors (HPBs) of low-income Black men. This study examined the relationship between HPBs, and motivators and barriers to participating in these behaviors in Black men ( N = 107), aged 21 to 56. Using descriptive statistics, more than 96% of the participants reported they were motivated because of the desire to be healthy. Canonical correlation analysis and conditional random forest were used to determine the importance of individual motivators and barriers. Canonical correlation analysis yielded one interpretable canonical variate that explained 39.5% of the variance in sets of motivators and barriers, and health promotion lifestyle variables. Men with fewer motivators and more barriers took less responsibility for their health, participated in less physical activity, and reported less spiritual growth. Having too many things to do and not knowing what to do best predicted participation in HPBs. ",,,,
A Journey in Need of a Better Map: The Pre-Tenure Experiences of Black Nursing Faculty,,,,,,,,,,,,,,,,,,,
Interim Evaluation of a University-Community Collaboration to Address Methamphetamine Use in a Rural Missouri Community,2014.0,"[{'given': 'Wilma J', 'family': 'Calvert', 'name': 'Wilma J Calvert'}, {'given': 'Kimberly R', 'family': 'Allen', 'name': 'Kimberly R Allen'}, {'given': 'Sarah', 'family': 'Brockman-Jankowski', 'name': 'Sarah Brockman-Jankowski'}]","Progress in community health partnerships : research, education, and action",10.1353/cpr.2014.0029,journal-article,1557-0541,Prog Community Health Partnersh,Prog Community Health Partnersh,Project MUSE,2,8,207-213,2014-01-01,"['Sociology and Political Science', 'Education', 'General Medicine', 'Health (social science)']","<h4>Background</h4>Methamphetamine use remains a significant public health problem. A multifaceted problem requires a collaborative effort.<h4>Objectives</h4>Community partners and university faculty collaborated to address meth use in a rural Missouri county. The objectives for this collaboration were to a) support current community partnerships by working with parents and teachers to incorporate a sustainable drug education curriculum in an elementary school and b) provide learning opportunities for senior nursing students.<h4>Methods</h4>Various strategies were used in the collaboration, including focus groups with school personnel and piloting the curriculum in a local school.<h4>Results</h4>Community members and university faculty worked together in all stages of the collaboration. The collaboration allowed the community to continue and expand its efforts in reducing methamphetamine use. Community and university team members are working together to expand the implementation in additional grades.<h4>Conclusions</h4>A real-world community problem can be addressed through a university-community collaboration.",,25152102.0,"['Humans', 'Amphetamine-Related Disorders', 'Methamphetamine', 'Cooperative Behavior', 'Universities', 'Adolescent', 'Child', 'Rural Population', 'Health Promotion', 'Community-Institutional Relations', 'Missouri', 'Female', 'Male', 'Community-Based Participatory Research']",
Black Nursing Faculty and Tenure (this is a tentative title),,,,,,,,,,,,,,,,,,,
Mental Distress in Black Fathers: Do Fatalistic Beliefs Make a Difference,,,,,,,,,,,,,,,,,,,
Civil unrest and college students:  Differences in life disruptions and health-related behaviors by race after the death of Michael Brown,,,,,,,,,,,,,,,,,,,
Update on the epidemiology of Hepatitis C:  What nurses working in radiology need to know,,,,,,,,,,,,,,,,,,,
Undiagnosed Hepatitis C buden in pregnant Saint Louis County women,,,,,,,,,,,,,,,,,,,
Engaging young Black males in reproductive health: A review of the literature,,,,,,,,,,,,,,,,,,,
Joy and Pain: Narratives of Black Junior Nursing Faculty,,,,,,,,,,,,,,,,,,,
Mental Distress in Black Fathers: Do Religious Beliefs Make a Difference,,,,,,,,,,,,,,,,,,,
Nurse Leaders' Response to Civil Unrest in the Urban Core,2017.0,"[{'given': 'Roberta', 'family': 'Lavin', 'name': 'Roberta Lavin'}, {'given': 'Tener', 'family': 'Goodwin Veenema', 'name': 'Tener Goodwin Veenema'}, {'given': 'Wilma J.', 'family': 'Calvert', 'name': 'Wilma J. Calvert'}, {'given': 'Sheila R.', 'family': 'Grigsby', 'name': 'Sheila R. Grigsby'}, {'given': 'Jennifer', 'family': 'Cobbina', 'name': 'Jennifer Cobbina'}]",Nursing Administration Quarterly,10.1097/naq.0000000000000223,journal-article,['0363-9568'],,,Ovid Technologies (Wolters Kluwer Health),2,41,164-169,2017-04-01,"['General Medicine', 'Leadership and Management']","Inequalities in society, culture, and finance have resulted in civil unrest, rioting, and intentional violence throughout our history. Nowhere is this currently more apparent than in the cities of Ferguson and Baltimore. It is not the civil unrest itself, but the resulting rioting and intentional violence that can create a disaster situation. This increases the care burden of health care providers during times when the governmental structure may be overwhelmed or functioning in a less than optimal manner. Beginning with the death of Michael Brown, civil unrest over the last 2 years has necessitated a closer examination of the role nurse leaders play in preparing their staff and facilities for potential results of this civil unrest. The similarities between the results of rioting and violence and natural disaster are obvious, but the differences are significant. Without adequate preparation, providers may not offer the appropriate response. Attention to the 10 “musts” for preparedness for civil unrest will facilitate a planning process and provide for a better response and recovery when communities face these issues.",cc-by-nc-4.0,,,
